Health Psychology Review
Year: 2022
Edition: SSCI

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"3,630","9.800","9.800","9.800","1.700","32","43.75","97.300",
2021,"3,753","9.638","9.217","13.543","2.478","23","39.13","95.802",
2020,"3,102","7.182","6.818","13.760","4.000","47","42.55","96.538",
2019,"2,007","5.136","5.000","10.339","2.478","23","34.78","95.038",
2018,"1,748","9.070","8.316","9.474","1.310","29","37.93","98.077",
2017,"1,378","8.597","8.048","8.699","1.750","32","46.88","98.031",
2016,"1,084","7.241","6.086","8.069","3.440","25","40.00","97.934",
2015,"841","8.976","7.195","8.395","1.703","37","72.97","98.770",
2014,"462","6.233","5.167","5.833","1.048","21","85.71","97.899",
2013,"302","6.750","4.708","N/A","0.550","20","85.00","97.748",
2012,"198","4.160","2.760","N/A","1.200","10","90.00","90.789",
2011,"116","2.062","1.813","N/A","1.857","14","100.00","69.545",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
