Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,Percent of articles in Citable items,Average JIF Percentile,Journal Name
2022,393,2.0,2.0,2.3,0.3,75,78.67,,Health Psychology Research
2021,348,,,,,27,88.89,,Health Psychology Research
2020,260,,,,,30,73.33,,Health Psychology Research
2022,"3,630",9.8,9.8,9.8,1.7,32,43.75,97.3,Health Psychology Review
2021,"3,753",9.638,9.217,13.543,2.478,23,39.13,95.802,Health Psychology Review
2020,"3,102",7.182,6.818,13.76,4.0,47,42.55,96.538,Health Psychology Review
2019,"2,007",5.136,5.0,10.339,2.478,23,34.78,95.038,Health Psychology Review
2018,"1,748",9.07,8.316,9.474,1.31,29,37.93,98.077,Health Psychology Review
2017,"1,378",8.597,8.048,8.699,1.75,32,46.88,98.031,Health Psychology Review
2016,"1,084",7.241,6.086,8.069,3.44,25,40.0,97.934,Health Psychology Review
2015,841,8.976,7.195,8.395,1.703,37,72.97,98.77,Health Psychology Review
2014,462,6.233,5.167,5.833,1.048,21,85.71,97.899,Health Psychology Review
2013,302,6.75,4.708,,0.55,20,85.0,97.748,Health Psychology Review
2012,198,4.16,2.76,,1.2,10,90.0,90.789,Health Psychology Review
2011,116,2.062,1.813,,1.857,14,100.0,69.545,Health Psychology Review
2022,"17,539",7.2,6.4,9.7,1.8,74,74.32,97.1,Implementation Science
2021,"16,241",8.0,7.294,8.781,1.128,94,76.6,97.084,Implementation Science
2020,"14,750",7.327,6.657,8.708,1.515,97,71.13,99.015,Implementation Science
2019,"10,777",5.531,5.027,6.024,0.806,103,79.61,98.403,Implementation Science
2018,"9,216",4.525,3.99,5.741,0.979,146,86.99,91.899,Implementation Science
2017,"7,206",4.345,3.714,5.363,0.658,146,84.25,92.099,Implementation Science
2016,"5,406",3.354,2.862,4.718,0.433,141,85.11,87.262,Implementation Science
2015,"4,189",3.201,2.475,4.325,0.509,165,84.24,87.527,Implementation Science
2014,"3,322",4.122,3.24,4.624,0.444,178,95.51,96.955,Implementation Science
2013,"2,388",3.47,2.562,4.098,0.406,143,92.31,93.854,Implementation Science
2012,"1,468",2.372,1.965,3.072,0.552,105,94.29,79.671,Implementation Science
2011,"1,055",3.1,2.472,3.196,0.397,131,86.26,91.585,Implementation Science
2010,606,2.514,2.093,2.731,0.232,99,88.89,85.022,Implementation Science
2009,465,2.485,1.272,3.168,0.605,81,91.36,81.544,Implementation Science
2022,"1,871",1.7,1.6,,0.3,256,97.66,,Pilot and Feasibility Studies
2021,"1,569",,,,,210,98.57,,Pilot and Feasibility Studies
2022,"7,574",3.3,3.2,4.0,0.5,103,96.12,63.9,Psychology and Health
2021,"7,854",3.358,3.239,4.109,0.841,138,94.2,62.81,Psychology and Health
2020,"7,221",3.073,2.963,4.292,1.039,180,93.33,70.978,Psychology and Health
2019,"5,304",2.528,2.342,2.802,0.713,80,98.75,77.037,Psychology and Health
2018,"5,140",2.401,2.21,2.868,0.583,84,97.62,76.096,Psychology and Health
2017,"4,684",2.459,2.341,2.741,0.714,77,96.1,79.731,Psychology and Health
2016,"4,301",2.225,2.11,3.002,0.376,85,95.29,75.253,Psychology and Health
2015,"3,779",1.983,1.864,2.947,0.988,85,97.65,72.412,Psychology and Health
2014,"3,430",1.871,1.742,2.932,0.443,88,100.0,70.812,Psychology and Health
2013,"3,014",2.255,2.108,2.626,0.17,88,100.0,81.2,Psychology and Health
2012,"2,591",1.95,1.743,2.366,0.327,98,100.0,77.0,Psychology and Health
2011,"2,405",2.126,1.921,2.468,0.43,100,100.0,80.504,Psychology and Health
