PSYCHOLOGY & HEALTH
Year: 2022
Edition: SSCI

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"7,574","3.300","3.200","4.000","0.500","103","96.12","63.900",
2021,"7,854","3.358","3.239","4.109","0.841","138","94.20","62.810",
2020,"7,221","3.073","2.963","4.292","1.039","180","93.33","70.978",
2019,"5,304","2.528","2.342","2.802","0.713","80","98.75","77.037",
2018,"5,140","2.401","2.210","2.868","0.583","84","97.62","76.096",
2017,"4,684","2.459","2.341","2.741","0.714","77","96.10","79.731",
2016,"4,301","2.225","2.110","3.002","0.376","85","95.29","75.253",
2015,"3,779","1.983","1.864","2.947","0.988","85","97.65","72.412",
2014,"3,430","1.871","1.742","2.932","0.443","88","100.00","70.812",
2013,"3,014","2.255","2.108","2.626","0.170","88","100.00","81.200",
2012,"2,591","1.950","1.743","2.366","0.327","98","100.00","77.000",
2011,"2,405","2.126","1.921","2.468","0.430","100","100.00","80.504",
2010,"2,080","1.591","1.432","2.220","0.384","73","100.00","66.918",
2009,"1,903","1.692","1.452","2.297","0.449","78","100.00","71.750",
2008,"1,761","2.083","1.688","2.490","0.389","54","98.15","81.634",
2007,"1,542","1.621","1.158","2.516","0.300","50","100.00","74.594",
2006,"1,296","1.636","1.121","N/A","0.196","46","97.83","72.096",
2005,"1,196","1.796","1.337","N/A","0.082","49","95.92","77.055",
2004,"978","1.683","1.257","N/A","0.240","50","100.00","86.167",
2003,"821","1.307","0.822","N/A","0.000","48","100.00","77.303",
2002,"663","0.920","0.760","N/A","0.208","53","96.23","63.962",
2001,"695","0.705","0.662","N/A","0.083","48","93.75","55.287",
2000,"608","0.909","0.636","N/A","0.104","77","98.70","63.717",
1999,"656","1.342","0.829","N/A","0.194","62","98.39","81.780",
1998,"471","0.729","0.695","N/A","0.611","36","97.22","63.462",
1997,"371","0.631","0.621","N/A","0.000","43","93.02","63.390",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
