Psychology Health & Medicine
Year: 2022
Edition: SCIE; SSCI

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"5,402","3.800","3.800","3.500","0.600","219","95.89","64.900",
2021,"5,070","3.898","3.793","3.536","0.905","232","95.26","62.033",
2020,"3,832","2.423","2.328","2.656","1.227","269","96.65","45.917",
2019,"2,497","1.706","1.647","1.904","0.884","121","96.69","43.557",
2018,"2,240","1.603","1.533","1.789","0.492","132","97.73","43.835",
2017,"1,949","1.589","1.517","1.652","0.623","154","96.75","45.580",
2016,"1,826","1.500","1.440","1.857","0.466","103","99.03","42.868",
2015,"1,419","1.347","1.267","1.731","0.385","104","100.00","40.776",
2014,"1,258","1.255","1.175","1.825","0.385","78","100.00","37.965",
2013,"1,129","1.532","1.476","N/A","0.292","72","98.61","51.449",
2012,"1,035","1.375","1.342","N/A","0.246","65","95.38","44.982",
2011,"805","1.178","1.101","N/A","0.085","59","89.83","40.655",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
