index,First Author,Title,Year,Citations
231,"Michie, Susan","Optimising the value of the evidence generated in implementation
   science: the use of ontologies to address the challenges",2017,9416
67,"Damschroder, Laura J.","Conceptualizing outcomes for use with the Consolidated Framework for
   Implementation Research (CFIR): the CFIR Outcomes Addendum",2022,9151
797,"Aron, David C.","Fostering implementation of health services research findings into
   practice: a consolidated framework for advancing implementation science",2009,6858
1182,"Keith, Rosalind E.","Fostering implementation of health services research findings into
   practice: a consolidated framework for advancing implementation science",2009,6858
1517,"Kirsh, Susan R.","Fostering implementation of health services research findings into
   practice: a consolidated framework for advancing implementation science",2009,6858
1811,"Alexander, Jeffery A.","Fostering implementation of health services research findings into
   practice: a consolidated framework for advancing implementation science",2009,6858
2049,"Lowery, Julie C.","Fostering implementation of health services research findings into
   practice: a consolidated framework for advancing implementation science",2009,6858
762,"O'Connor, Denise","Validation of the theoretical domains framework for use in behaviour
   change and implementation research",2012,3826
351,"Cane, James","Validation of the theoretical domains framework for use in behaviour
   change and implementation research",2012,2289
1183,"Grimshaw, Jeremy M.","Specifying and reporting complex behaviour change interventions: the
   need for a scientific method",2009,2111
301,"Powell, Byron J.","A refined compilation of implementation strategies: results from the
   Expert Recommendations for Implementing Change (ERIC) project",2015,2055
673,"Dombrowski, Stephan U.","Theoretical explanations for maintenance of behaviour change: a
   systematic review of behaviour theories",2016,2018
1108,"Chinman, Matthew J.","A refined compilation of implementation strategies: results from the
   Expert Recommendations for Implementing Change (ERIC) project",2015,1861
2372,"Kirchner, JoAnn E.","A refined compilation of implementation strategies: results from the
   Expert Recommendations for Implementing Change (ERIC) project",2015,1828
712,"Waltz, Thomas J.","A refined compilation of implementation strategies: results from the
   Expert Recommendations for Implementing Change (ERIC) project",2015,1820
1760,"Smith, Jeffrey L.","A refined compilation of implementation strategies: results from the
   Expert Recommendations for Implementing Change (ERIC) project",2015,1820
2005,"Matthieu, Monica M.","A refined compilation of implementation strategies: results from the
   Expert Recommendations for Implementing Change (ERIC) project",2015,1820
2214,"Proctor, Enola K.","A refined compilation of implementation strategies: results from the
   Expert Recommendations for Implementing Change (ERIC) project",2015,1820
115,"Johnston, Marie","Progress in conducting and reporting behaviour change intervention
   studies: a prospective retrospection",2021,1803
604,"Abraham, Charles","Identifying change processes in group-based health behaviour-change
   interventions: development of the mechanisms of action in group-based
   interventions (MAGI) framework",2019,1781
810,"Hardeman, Wendy","Investigating theoretical explanations for behaviour change: The case
   study of ProActive",2008,1726
194,"Stirman, Shannon Wiltsey","The FRAME: an expanded framework for reporting adaptations and
   modifications to evidence-based interventions",2019,1690
1167,"Eccles, Martin P.","Strengthening evaluation and implementation by specifying components of
   behaviour change interventions: a study protocol",2011,1680
1505,"Francis,   Jill J.","Strengthening evaluation and implementation by specifying components of
   behaviour change interventions: a study protocol",2011,1680
305,"Sniehotta, Falko F.","On the development, evaluation and evolution of health behaviour theory",2015,1517
352,"Francis, Jill J.","Theories of behaviour change synthesised into a set of theoretical
   groupings: introducing a thematic series on the theoretical domains
   framework",2012,1333
2191,"Foy, Robbie","A guide to using the Theoretical Domains Framework of behaviour change
   to investigate implementation problems",2017,1283
2449,"Lawton, Rebecca","A co-production approach guided by the behaviour change wheel to develop
   an intervention for reducing sedentary behaviour after stroke",2020,1283
402,"Carroll, Christopher",A conceptual framework for implementation fidelity,2007,1273
650,"Francis, Jill","A guide to using the Theoretical Domains Framework of behaviour change
   to investigate implementation problems",2017,1273
812,"Patterson, Malcolm",A conceptual framework for implementation fidelity,2007,1273
1195,"Wood, Stephen",A conceptual framework for implementation fidelity,2007,1273
1529,"Booth,   Andrew",A conceptual framework for implementation fidelity,2007,1273
1819,"Rick, Jo",A conceptual framework for implementation fidelity,2007,1273
2054,"Balain, Shashi",A conceptual framework for implementation fidelity,2007,1273
238,"Atkins, Lou","A guide to using the Theoretical Domains Framework of behaviour change
   to investigate implementation problems",2017,1267
1048,"Islam, Rafat","A guide to using the Theoretical Domains Framework of behaviour change
   to investigate implementation problems",2017,1267
1719,"Patey, Andrea","A guide to using the Theoretical Domains Framework of behaviour change
   to investigate implementation problems",2017,1267
1978,"Ivers, Noah","A guide to using the Theoretical Domains Framework of behaviour change
   to investigate implementation problems",2017,1267
2355,"Duncan, Eilidh M.","A guide to using the Theoretical Domains Framework of behaviour change
   to investigate implementation problems",2017,1267
2485,"Colquhoun, Heather","A guide to using the Theoretical Domains Framework of behaviour change
   to investigate implementation problems",2017,1267
1477,"Calloway, Amber","Development of a framework and coding system for modifications and
   adaptations of evidence-based interventions",2013,1173
785,"Ashford, Stefanie","A refined taxonomy of behaviour change techniques to help people change
   their physical activity and healthy eating behaviours: The CALO-RE
   taxonomy",2011,1059
1803,"Bishop, Alex","A refined taxonomy of behaviour change techniques to help people change
   their physical activity and healthy eating behaviours: The CALO-RE
   taxonomy",2011,1059
2041,"French, David P.","A refined taxonomy of behaviour change techniques to help people change
   their physical activity and healthy eating behaviours: The CALO-RE
   taxonomy",2011,1059
62,"May, Carl R.","Translational framework for implementation evaluation and research: a
   normalisation process theory coding manual for qualitative research and
   instrument development",2022,985
2245,"Rapley, Tim","Development of a theory of implementation and integration: Normalization
   Process Theory",2009,925
362,"Glasgow, Russell E.","Use of RE-AIM to develop a multi-media facilitation tool for the
   patient-centered medical home",2011,909
1184,"Finch, Tracy","Development of a theory of implementation and integration: Normalization
   Process Theory",2009,893
2181,"Murray, Elizabeth","Using Normalization Process Theory in feasibility studies and process
   evaluations of complex healthcare interventions: a systematic review",2018,893
1519,"MacFarlane, Anne","Development of a theory of implementation and integration: Normalization
   Process Theory",2009,881
328,"Chambers, David A.","The dynamic sustainability framework: addressing the paradox of
   sustainment amid ongoing change",2013,848
1131,"Stange, Kurt C.","The dynamic sustainability framework: addressing the paradox of
   sustainment amid ongoing change",2013,848
742,"Miller, Christopher J.","Development of a framework and coding system for modifications and
   adaptations of evidence-based interventions",2013,816
314,"Prestwich, Andrew","Does Theory Influence the Effectiveness of Health Behavior
   Interventions? Meta-Analysis",2014,801
766,"Kimberly, John","The sustainability of new programs and innovations: a review of the
   empirical literature and recommendations for future research",2012,793
1155,"Cook, Natasha","The sustainability of new programs and innovations: a review of the
   empirical literature and recommendations for future research",2012,793
1789,"Castro, Frank","The sustainability of new programs and innovations: a review of the
   empirical literature and recommendations for future research",2012,793
2029,"Charns, Martin","The sustainability of new programs and innovations: a review of the
   empirical literature and recommendations for future research",2012,793
1070,"White, Martin","Theoretical explanations for maintenance of behaviour change: a
   systematic review of behaviour theories",2016,787
353,"French, Simon D.","Developing theory-informed behaviour change interventions to implement
   evidence into practice: a systematic approach using the Theoretical
   Domains Framework",2012,762
764,"Green, Sally E.","Developing theory-informed behaviour change interventions to implement
   evidence into practice: a systematic approach using the Theoretical
   Domains Framework",2012,762
1153,"O'Connor, Denise A.","Developing theory-informed behaviour change interventions to implement
   evidence into practice: a systematic approach using the Theoretical
   Domains Framework",2012,762
1491,"McKenzie, Joanne E.","Developing theory-informed behaviour change interventions to implement
   evidence into practice: a systematic approach using the Theoretical
   Domains Framework",2012,762
2227,"Buchbinder, Rachelle","Developing theory-informed behaviour change interventions to implement
   evidence into practice: a systematic approach using the Theoretical
   Domains Framework",2012,762
2379,"Schattner, Peter","Developing theory-informed behaviour change interventions to implement
   evidence into practice: a systematic approach using the Theoretical
   Domains Framework",2012,762
2507,"Spike, Neil","Developing theory-informed behaviour change interventions to implement
   evidence into practice: a systematic approach using the Theoretical
   Domains Framework",2012,762
2608,"Grimshaw,   Jeremy M.","Developing theory-informed behaviour change interventions to implement
   evidence into practice: a systematic approach using the Theoretical
   Domains Framework",2012,762
1436,"Rogers, Anne","Implementing a social network intervention designed to enhance and
   diversify support for people with long-term conditions. A qualitative
   study",2016,718
399,"Kitson, Alison L.","Evaluating the successful implementation of evidence into practice using
   the PARiHS framework: theoretical and practical challenges",2008,708
809,"Rycroft-Malone, Jo","Evaluating the successful implementation of evidence into practice using
   the PARiHS framework: theoretical and practical challenges",2008,708
1192,"Harvey, Gill","Evaluating the successful implementation of evidence into practice using
   the PARiHS framework: theoretical and practical challenges",2008,708
1526,"McCormack,   Brendan","Evaluating the successful implementation of evidence into practice using
   the PARiHS framework: theoretical and practical challenges",2008,708
1816,"Seers, Kate","Evaluating the successful implementation of evidence into practice using
   the PARiHS framework: theoretical and practical challenges",2008,708
2051,"Titchen, Angie","Evaluating the successful implementation of evidence into practice using
   the PARiHS framework: theoretical and practical challenges",2008,708
262,"Kwasnicka, Dominika","Theoretical explanations for maintenance of behaviour change: a
   systematic review of behaviour theories",2016,679
1422,"Sniehotta, Falko","Theoretical explanations for maintenance of behaviour change: a
   systematic review of behaviour theories",2016,641
799,"Mair, Frances","Development of a theory of implementation and integration: Normalization
   Process Theory",2009,631
1812,"Dowrick, Christopher","Development of a theory of implementation and integration: Normalization
   Process Theory",2009,631
2050,"Treweek, Shaun","Development of a theory of implementation and integration: Normalization
   Process Theory",2009,631
2392,"Ballini,   Luciana","Development of a theory of implementation and integration: Normalization
   Process Theory",2009,631
2517,"Ong, Bie Nio","Development of a theory of implementation and integration: Normalization
   Process Theory",2009,631
2736,"Elwyn, Glyn","Development of a theory of implementation and integration: Normalization
   Process Theory",2009,631
2777,"Legare, France","Development of a theory of implementation and integration: Normalization
   Process Theory",2009,631
2805,"Gunn, Jane","Development of a theory of implementation and integration: Normalization
   Process Theory",2009,631
2828,"Montori, Victor M.","Development of a theory of implementation and integration: Normalization
   Process Theory",2009,631
292,"Davis, Rachel","Theories of behaviour and behaviour change across the social and
   behavioural sciences: a scoping review",2015,628
798,"Fixsen, Dean","Specifying and reporting complex behaviour change interventions: the
   need for a scientific method",2009,581
1518,"Eccles,   Martin P.","Specifying and reporting complex behaviour change interventions: the
   need for a scientific method",2009,581
988,"Lorencatto, Fabiana","Action, actor, context, target, time (AACTT): a framework for specifying
   behaviour",2019,579
703,"Campbell, Rona","Theories of behaviour and behaviour change across the social and
   behavioural sciences: a scoping review",2015,578
1099,"Hildon, Zoe","Theories of behaviour and behaviour change across the social and
   behavioural sciences: a scoping review",2015,578
1448,"Hobbs, Lorna","Theories of behaviour and behaviour change across the social and
   behavioural sciences: a scoping review",2015,578
407,"Rothman, AJ",Toward a theory-based analysis of behavioral maintenance,2000,544
261,"Kok, Gerjo",A taxonomy of behaviour change methods: an Intervention Mapping approach,2016,542
73,"Czajkowski, Susan M.","From Ideas to Interventions: A Review and Comparison of Frameworks Used
   in Early Phase Behavioral Translation Research",2021,541
487,"Hunter, Christine M.","From Ideas to Interventions: A Review and Comparison of Frameworks Used
   in Early Phase Behavioral Translation Research",2021,541
216,"Powell, Lynda H.","Development of a Lifestyle Intervention for the Metabolic Syndrome:
   Discovery Through Proof-of-Concept",2018,536
1096,"Adler, Nancy","From Ideas to Efficacy: The ORBIT Model for Developing Behavioral
   Treatments for Chronic Diseases",2015,531
1446,"Naar-King, Sylvie","From Ideas to Efficacy: The ORBIT Model for Developing Behavioral
   Treatments for Chronic Diseases",2015,531
1750,"Reynolds, Kim D.","From Ideas to Efficacy: The ORBIT Model for Developing Behavioral
   Treatments for Chronic Diseases",2015,531
2208,"Laraia, Barbara","From Ideas to Efficacy: The ORBIT Model for Developing Behavioral
   Treatments for Chronic Diseases",2015,531
2368,"Olster, Deborah H.","From Ideas to Efficacy: The ORBIT Model for Developing Behavioral
   Treatments for Chronic Diseases",2015,531
2497,"Perna, Frank M.","From Ideas to Efficacy: The ORBIT Model for Developing Behavioral
   Treatments for Chronic Diseases",2015,531
2599,"Peterson,   Janey C.","From Ideas to Efficacy: The ORBIT Model for Developing Behavioral
   Treatments for Chronic Diseases",2015,531
2673,"Epel, Elissa","From Ideas to Efficacy: The ORBIT Model for Developing Behavioral
   Treatments for Chronic Diseases",2015,531
2729,"Boyington, Josephine E.","From Ideas to Efficacy: The ORBIT Model for Developing Behavioral
   Treatments for Chronic Diseases",2015,531
2773,"Charlson, Mary   E.","From Ideas to Efficacy: The ORBIT Model for Developing Behavioral
   Treatments for Chronic Diseases",2015,531
2803,Obesity Related Behav Intervention,"From Ideas to Efficacy: The ORBIT Model for Developing Behavioral
   Treatments for Chronic Diseases",2015,531
129,"Kirk, M. Alexis","Towards a comprehensive model for understanding adaptations' impact: the
   model for adaptation design and impact (MADI)",2020,527
1087,"Ruiter, Robert A. C.","A new direction in psychology and health: Resistance exercise training
   for obese children and adolescents",2016,514
1708,"Mair, Frances S.","Using Normalization Process Theory in feasibility studies and process
   evaluations of complex healthcare interventions: a systematic review",2018,512
672,"Gottlieb, Nell H.",A taxonomy of behaviour change methods: an Intervention Mapping approach,2016,488
1069,"Peters, Gjalt-Jorn Y.",A taxonomy of behaviour change methods: an Intervention Mapping approach,2016,488
1421,"Mullen,   Patricia Dolan",A taxonomy of behaviour change methods: an Intervention Mapping approach,2016,488
1733,"Parcel, Guy S.",A taxonomy of behaviour change methods: an Intervention Mapping approach,2016,488
2200,"Fernandez, Maria E.",A taxonomy of behaviour change methods: an Intervention Mapping approach,2016,488
2362,"Markham, Christine",A taxonomy of behaviour change methods: an Intervention Mapping approach,2016,488
2492,"Bartholomew, L. Kay",A taxonomy of behaviour change methods: an Intervention Mapping approach,2016,488
404,"Stetler, Cheryl B.",Role of ``external facilitation{'',2006,454
2055,"Guihan, Marylou",Role of ``external facilitation{'',2006,454
607,"Baumann, Ana A.","The FRAME: an expanded framework for reporting adaptations and
   modifications to evidence-based interventions",2019,436
683,"Kelley, Caitlin","A systematic review of the use of the Consolidated Framework for
   Implementation Research",2016,388
1080,"Yankey, Nicholas","A systematic review of the use of the Consolidated Framework for
   Implementation Research",2016,388
1432,"Birken,   Sarah A.","A systematic review of the use of the Consolidated Framework for
   Implementation Research",2016,388
1741,"Abadie, Brenton","A systematic review of the use of the Consolidated Framework for
   Implementation Research",2016,388
1993,"Damschroder, Laura","A systematic review of the use of the Consolidated Framework for
   Implementation Research",2016,388
1134,"Toder, Katherine","Development of a framework and coding system for modifications and
   adaptations of evidence-based interventions",2013,380
108,"Presseau, Justin","Enhancing the translation of health behaviour change research into
   practice: a selective conceptual review of the synergy between
   implementation science and health psychology",2022,331
715,"de Bruin, Marijn","Everything should be as simple as possible, but no simpler: towards a
   protocol for accumulating evidence regarding the active content of
   health behaviour change interventions",2015,326
1120,"Whittington, Craig","Does Theory Influence the Effectiveness of Health Behavior
   Interventions? Meta-Analysis",2014,311
1766,"Rogers, Lizzie","Does Theory Influence the Effectiveness of Health Behavior
   Interventions? Meta-Analysis",2014,311
239,"Birken, Sarah A.",Organizational theory for dissemination and implementation research,2017,303
882,"Bracher, Mike","Translational framework for implementation evaluation and research: a
   normalisation process theory coding manual for qualitative research and
   instrument development",2022,294
1033,"Girling, Melissa","Using Normalization Process Theory in feasibility studies and process
   evaluations of complex healthcare interventions: a systematic review",2018,294
1967,"May, Christine M.","Using Normalization Process Theory in feasibility studies and process
   evaluations of complex healthcare interventions: a systematic review",2018,294
279,"Gardner, Benjamin","How to reduce sitting time? A review of behaviour change strategies used
   in sedentary behaviour reduction interventions among adults",2016,286
1743,"Biddle, Stuart J. H.","How to reduce sitting time? A review of behaviour change strategies used
   in sedentary behaviour reduction interventions among adults",2016,284
690,"Smith, Lee","How to reduce sitting time? A review of behaviour change strategies used
   in sedentary behaviour reduction interventions among adults",2016,281
1438,"Hamer, Mark","How to reduce sitting time? A review of behaviour change strategies used
   in sedentary behaviour reduction interventions among adults",2016,281
1152,"Curran, Janet","Theories of behaviour change synthesised into a set of theoretical
   groupings: introducing a thematic series on the theoretical domains
   framework",2012,270
670,"Mullan, Barbara","Computer-delivered interventions for reducing alcohol consumption:
   meta-analysis and meta-regression using behaviour change techniques and
   theory",2016,268
284,"Nahum-Shani, Inbal","Building Health Behavior Models to Guide the Development of Just-in-Time
   Adaptive Interventions: A Pragmatic Framework",2015,263
695,"Hekler, Eric B.","Building Health Behavior Models to Guide the Development of Just-in-Time
   Adaptive Interventions: A Pragmatic Framework",2015,263
1091,"Spruijt-Metz, Donna","Building Health Behavior Models to Guide the Development of Just-in-Time
   Adaptive Interventions: A Pragmatic Framework",2015,263
633,"Cummings, Amanda","Using Normalization Process Theory in feasibility studies and process
   evaluations of complex healthcare interventions: a systematic review",2018,262
2347,"Myall, Michelle","Using Normalization Process Theory in feasibility studies and process
   evaluations of complex healthcare interventions: a systematic review",2018,262
814,"Legro, Marcia W.",Role of ``external facilitation{'',2006,256
1197,"Rycroft-Malone, Joanne",Role of ``external facilitation{'',2006,256
1531,"Bowman, Candice",Role of ``external facilitation{'',2006,256
1820,"Curran, Geoffrey",Role of ``external facilitation{'',2006,256
2246,"Hagedorn,   Hildi",Role of ``external facilitation{'',2006,256
2393,"Pineros, Sandra",Role of ``external facilitation{'',2006,256
2518,"Wallace, Carolyn M.",Role of ``external facilitation{'',2006,256
1703,"Ryan, Richard M.","A meta-analysis of techniques to promote motivation for health behaviour
   change from a self-determination theory perspective",2019,253
746,"West, Robert",Moving From Theory to Practice and Back in Social and Health Psychology,2013,237
2192,"Yu, Yan",Organizational theory for dissemination and implementation research,2017,222
